compilation_file,flag
/.fdt.o,O2
/.fdt.o,PIE
/.fdt.o,PIE
/.fdt_addresses.o,O2
/.fdt_addresses.o,PIE
/.fdt_empty_tree.o,O2
/.fdt_empty_tree.o,PIE
/.fdt_overlay.o,O2
/.fdt_region.o,O2
/.fdt_region.o,PIE
/.fdt_ro.o,O2
/.fdt_ro.o,PIE
/.fdt_rw.o,O2
/.fdt_rw.o,PIE
/.fdt_strerror.o,O2
/.fdt_strerror.o,PIE
/.fdt_support.o,PIE
/.fdt_sw.o,O2
/.fdt_sw.o,PIE
/.fdt_wip.o,O2
/.fdt_wip.o,PIE
/.fdtaddr.o,PIE
/.fdtdec.o,O2
/.fdtdec.o,PIE
/.fdtdec_common.o,O2
/.fdtdec_common.o,PIE
/.fdtgrep.o,O2
/.fflush_stdout_and_exit.o,D_FORTIFY_SOURCE=2
/.fflush_stdout_and_exit.o,O2
/.fflush_stdout_and_exit.o,fstack-protector-strong
/.fgets_str.o,D_FORTIFY_SOURCE=2
/.fgets_str.o,O2
/.fgets_str.o,fstack-protector-strong
/.filter_accept_all.o,D_FORTIFY_SOURCE=2
/.filter_accept_all.o,O2
/.filter_accept_all.o,fstack-protector-strong
/.filter_accept_list.o,D_FORTIFY_SOURCE=2
/.filter_accept_list.o,O2
/.filter_accept_list.o,fstack-protector-strong
/.filter_accept_reject_list.o,D_FORTIFY_SOURCE=2
/.filter_accept_reject_list.o,O2
/.filter_accept_reject_list.o,fstack-protector-strong
/.find.o,D_FORTIFY_SOURCE=2
/.find.o,O2
/.find.o,fstack-protector-strong
/.find_list_entry.o,D_FORTIFY_SOURCE=2
/.find_list_entry.o,O2
/.find_list_entry.o,fstack-protector-strong
/.find_mount_point.o,D_FORTIFY_SOURCE=2
/.find_mount_point.o,O2
/.find_mount_point.o,fstack-protector-strong
/.find_pid_by_name.o,D_FORTIFY_SOURCE=2
/.find_pid_by_name.o,O2
/.find_pid_by_name.o,fstack-protector-strong
/.find_root_device.o,D_FORTIFY_SOURCE=2
/.find_root_device.o,O2
/.find_root_device.o,fstack-protector-strong
/.firmware-uclass.o,PIE
/.fit_check_sign.o,O2
/.fit_common.o,O2
/.fit_image.o,O2
/.fit_info.o,O2
/.flags.o,PIE
/.flash.o,PIE
/.flash.o,fPIC
/.flattree.o,O2
/.flock.o,D_FORTIFY_SOURCE=2
/.flock.o,O2
/.flock.o,fstack-protector-strong
/.free.o,D_FORTIFY_SOURCE=2
/.free.o,O2
/.free.o,fstack-protector-strong
/.fs.o,PIE
/.fs_internal.o,PIE
/.fsck.o,D_FORTIFY_SOURCE=2
/.fsck.o,O2
/.fsck.o,fstack-protector-strong
/.fstree.o,O2
/.fstrim.o,D_FORTIFY_SOURCE=2
/.fstrim.o,O2
/.fstrim.o,fstack-protector-strong
/.full_write.o,D_FORTIFY_SOURCE=2
/.full_write.o,O2
/.full_write.o,fstack-protector-strong
/.fuser.o,D_FORTIFY_SOURCE=2
/.fuser.o,O2
/.fuser.o,fstack-protector-strong
/.fwcall.o,PIE
/.gen_ethaddr_crc.o,O2
/.generic_timer.o,PIE
/.get_console.o,D_FORTIFY_SOURCE=2
/.get_console.o,O2
/.get_console.o,fstack-protector-strong
/.get_devname.o,D_FORTIFY_SOURCE=2
/.get_devname.o,O2
/.get_devname.o,fstack-protector-strong
/.get_header_cpio.o,D_FORTIFY_SOURCE=2
/.get_header_cpio.o,O2
/.get_header_cpio.o,fstack-protector-strong
/.get_header_tar.o,D_FORTIFY_SOURCE=2
/.get_header_tar.o,O2
/.get_header_tar.o,fstack-protector-strong
/.get_last_path_component.o,D_FORTIFY_SOURCE=2
/.get_last_path_component.o,O2
/.get_last_path_component.o,fstack-protector-strong
/.get_line_from_file.o,D_FORTIFY_SOURCE=2
/.get_line_from_file.o,O2
/.get_line_from_file.o,fstack-protector-strong
/.get_shell_name.o,D_FORTIFY_SOURCE=2
/.get_shell_name.o,O2
/.get_shell_name.o,fstack-protector-strong
/.get_volsize.o,D_FORTIFY_SOURCE=2
/.get_volsize.o,O2
/.get_volsize.o,fstack-protector-strong
/.getopt.o,D_FORTIFY_SOURCE=2
/.getopt.o,O2
/.getopt.o,fstack-protector-strong
/.getopt32.o,D_FORTIFY_SOURCE=2
/.getopt32.o,O2
/.getopt32.o,fstack-protector-strong
/.getopt_allopts.o,D_FORTIFY_SOURCE=2
/.getopt_allopts.o,O2
/.getopt_allopts.o,fstack-protector-strong
/.getopt_mk_fifo_nod.o,D_FORTIFY_SOURCE=2
/.getopt_mk_fifo_nod.o,O2
/.getopt_mk_fifo_nod.o,fstack-protector-strong
/.getpty.o,D_FORTIFY_SOURCE=2
/.getpty.o,O2
/.getpty.o,fstack-protector-strong
/.getty.o,D_FORTIFY_SOURCE=2
/.getty.o,O2
/.getty.o,fstack-protector-strong
/.gpimage-common.o,O2
/.gpimage.o,O2
/.gpt.o,PIE
/.grep.o,D_FORTIFY_SOURCE=2
/.grep.o,O2
/.grep.o,fstack-protector-strong
/.gunzip.o,PIE
/.gzip.o,D_FORTIFY_SOURCE=2
/.gzip.o,O2
/.gzip.o,fstack-protector-strong
/.halt.o,D_FORTIFY_SOURCE=2
/.halt.o,O2
/.halt.o,fstack-protector-strong
/.hang.o,PIE
/.hash-checksum.o,O2
/.hash-checksum.o,PIE
/.hash.o,O2
/.hash.o,PIE
/.hash_md5_sha.o,D_FORTIFY_SOURCE=2
/.hash_md5_sha.o,O2
/.hash_md5_sha.o,fstack-protector-strong
/.hashtable.o,PIE
/.head.o,D_FORTIFY_SOURCE=2
/.head.o,O2
/.head.o,fstack-protector-strong
/.header_list.o,D_FORTIFY_SOURCE=2
/.header_list.o,O2
/.header_list.o,fstack-protector-strong
/.header_skip.o,D_FORTIFY_SOURCE=2
/.header_skip.o,O2
/.header_skip.o,fstack-protector-strong
/.header_verbose_list.o,D_FORTIFY_SOURCE=2
/.header_verbose_list.o,O2
/.header_verbose_list.o,fstack-protector-strong
/.hello_world.o,PIE
/.helloworld.o,PIE
/.help.o,PIE
/.herror_msg.o,D_FORTIFY_SOURCE=2
/.herror_msg.o,O2
/.herror_msg.o,fstack-protector-strong
/.hexdump.o,D_FORTIFY_SOURCE=2
/.hexdump.o,O2
/.hexdump.o,PIE
/.hexdump.o,fstack-protector-strong
/.hostname.o,D_FORTIFY_SOURCE=2
/.hostname.o,O2
/.hostname.o,fstack-protector-strong
/.human_readable.o,D_FORTIFY_SOURCE=2
/.human_readable.o,O2
/.human_readable.o,fstack-protector-strong
/.hwclock.o,D_FORTIFY_SOURCE=2
/.hwclock.o,O2
/.hwclock.o,fstack-protector-strong
/.id.o,D_FORTIFY_SOURCE=2
/.id.o,O2
/.id.o,fstack-protector-strong
/.ifconfig.o,D_FORTIFY_SOURCE=2
/.ifconfig.o,O2
/.ifconfig.o,fstack-protector-strong
/.ifupdown.o,D_FORTIFY_SOURCE=2
/.ifupdown.o,O2
/.ifupdown.o,fstack-protector-strong
/.image-board.o,PIE
/.image-cipher.o,O2
/.image-fdt.o,PIE
/.image-fit-sig.o,O2
/.image-fit.o,O2
/.image-fit.o,PIE
/.image-fit.o,PIE
/.image-host.o,O2
/.image-sig-host.o,O2
/.image.o,O2
/.image.o,PIE
/.image.o,PIE
/.imagetool.o,O2
/.imx8image.o,O2
/.imx8mimage.o,O2
/.imximage.o,O2
/.in_ether.o,D_FORTIFY_SOURCE=2
/.in_ether.o,O2
/.in_ether.o,fstack-protector-strong
/.inet_cksum.o,D_FORTIFY_SOURCE=2
/.inet_cksum.o,O2
/.inet_cksum.o,fstack-protector-strong
/.inet_common.o,D_FORTIFY_SOURCE=2
/.inet_common.o,O2
/.inet_common.o,fstack-protector-strong
/.init.o,D_FORTIFY_SOURCE=2
/.init.o,O2
/.init.o,fstack-protector-strong
/.init_handle.o,D_FORTIFY_SOURCE=2
/.init_handle.o,O2
/.init_handle.o,fstack-protector-strong
/.initcall.o,PIE
/.inode_hash.o,D_FORTIFY_SOURCE=2
/.inode_hash.o,O2
/.inode_hash.o,fstack-protector-strong
/.input.o,PIE
/.insmod.o,D_FORTIFY_SOURCE=2
/.insmod.o,O2
/.insmod.o,fstack-protector-strong
/.interface.o,D_FORTIFY_SOURCE=2
/.interface.o,O2
/.interface.o,fstack-protector-strong
/.interrupts_64.o,PIE
/.ip.o,D_FORTIFY_SOURCE=2
/.ip.o,O2
/.ip.o,fstack-protector-strong
/.ip_parse_common_args.o,D_FORTIFY_SOURCE=2
/.ip_parse_common_args.o,O2
/.ip_parse_common_args.o,fstack-protector-strong
/.ipaddress.o,D_FORTIFY_SOURCE=2
/.ipaddress.o,O2
/.ipaddress.o,fstack-protector-strong
/.iplink.o,D_FORTIFY_SOURCE=2
/.iplink.o,O2
/.iplink.o,fstack-protector-strong
/.ipneigh.o,D_FORTIFY_SOURCE=2
/.ipneigh.o,O2
/.ipneigh.o,fstack-protector-strong
/.iproute.o,D_FORTIFY_SOURCE=2
/.iproute.o,O2
/.iproute.o,fstack-protector-strong
/.iptunnel.o,D_FORTIFY_SOURCE=2
/.iptunnel.o,O2
/.iptunnel.o,fstack-protector-strong
/.isdirectory.o,D_FORTIFY_SOURCE=2
/.isdirectory.o,O2
/.isdirectory.o,fstack-protector-strong
/.isqrt.o,D_FORTIFY_SOURCE=2
/.isqrt.o,O2
/.isqrt.o,fstack-protector-strong
/.itest.o,PIE
/.kernel_version.o,D_FORTIFY_SOURCE=2
/.kernel_version.o,O2
/.kernel_version.o,fstack-protector-strong
/.key_matrix.o,PIE
/.kill.o,D_FORTIFY_SOURCE=2
/.kill.o,O2
/.kill.o,fstack-protector-strong
/.klogd.o,D_FORTIFY_SOURCE=2
/.klogd.o,O2
/.klogd.o,fstack-protector-strong
/.kwbimage.o,O2
/.last_char_is.o,D_FORTIFY_SOURCE=2
/.last_char_is.o,O2
/.last_char_is.o,fstack-protector-strong
/.ldiv.o,PIE
/.less.o,D_FORTIFY_SOURCE=2
/.less.o,O2
/.less.o,fstack-protector-strong
/.libnetlink.o,D_FORTIFY_SOURCE=2
/.libnetlink.o,O2
/.libnetlink.o,fstack-protector-strong
/.lineedit.o,D_FORTIFY_SOURCE=2
/.lineedit.o,O2
/.lineedit.o,fstack-protector-strong
/.lineedit_ptr_hack.o,D_FORTIFY_SOURCE=2
/.lineedit_ptr_hack.o,O2
/.lineedit_ptr_hack.o,fstack-protector-strong
/.linux_compat.o,PIE
/.linux_string.o,PIE
/.list_sort.o,PIE
/.lists.o,PIE
/.livetree.o,O2
/.ll_addr.o,D_FORTIFY_SOURCE=2
/.ll_addr.o,O2
/.ll_addr.o,fstack-protector-strong
/.ll_map.o,D_FORTIFY_SOURCE=2
/.ll_map.o,O2
/.ll_map.o,fstack-protector-strong
/.ll_proto.o,D_FORTIFY_SOURCE=2
/.ll_proto.o,O2
/.ll_proto.o,fstack-protector-strong
/.ll_types.o,D_FORTIFY_SOURCE=2
/.ll_types.o,O2
/.ll_types.o,fstack-protector-strong
/.llist.o,D_FORTIFY_SOURCE=2
/.llist.o,O2
/.llist.o,fstack-protector-strong
/.lmb.o,PIE
/.ln.o,D_FORTIFY_SOURCE=2
/.ln.o,O2
/.ln.o,fstack-protector-strong
/.load.o,PIE
/.loadfont.o,D_FORTIFY_SOURCE=2
/.loadfont.o,O2
/.loadfont.o,fstack-protector-strong
/.loadkmap.o,D_FORTIFY_SOURCE=2
/.loadkmap.o,O2
/.loadkmap.o,fstack-protector-strong
/.login.o,D_FORTIFY_SOURCE=2
/.login.o,O2
/.login.o,fstack-protector-strong
/.logname.o,D_FORTIFY_SOURCE=2
/.logname.o,O2
/.logname.o,fstack-protector-strong
/.logread.o,D_FORTIFY_SOURCE=2
/.logread.o,O2
/.logread.o,fstack-protector-strong
/.loop.o,D_FORTIFY_SOURCE=2
/.loop.o,O2
/.loop.o,fstack-protector-strong
/.losetup.o,D_FORTIFY_SOURCE=2
/.losetup.o,O2
/.losetup.o,fstack-protector-strong
/.lpc32xximage.o,O2
/.ls.o,D_FORTIFY_SOURCE=2
/.ls.o,O2
/.ls.o,fstack-protector-strong
/.lsmod.o,D_FORTIFY_SOURCE=2
/.lsmod.o,O2
/.lsmod.o,fstack-protector-strong
/.lz4_wrapper.o,PIE
/.lzmadec.o,PIE
/.main.o,PIE
/.make_directory.o,D_FORTIFY_SOURCE=2
/.make_directory.o,O2
/.make_directory.o,fstack-protector-strong
/.makedev.o,D_FORTIFY_SOURCE=2
/.makedev.o,O2
/.makedev.o,fstack-protector-strong
/.malloc_simple.o,PIE
/.match_fstype.o,D_FORTIFY_SOURCE=2
/.match_fstype.o,O2
/.match_fstype.o,fstack-protector-strong
/.math.o,D_FORTIFY_SOURCE=2
/.math.o,O2
/.math.o,fstack-protector-strong
/.md5.o,O2
/.md5.o,PIE
/.md5.o,PIE
/.md5_sha1_sum.o,D_FORTIFY_SOURCE=2
/.md5_sha1_sum.o,O2
/.md5_sha1_sum.o,fstack-protector-strong
/.mdev.o,D_FORTIFY_SOURCE=2
/.mdev.o,O2
/.mdev.o,fstack-protector-strong
/.mem.o,PIE
/.membuff.o,PIE
/.memsize.o,PIE
/.mesg.o,D_FORTIFY_SOURCE=2
/.mesg.o,O2
/.mesg.o,fstack-protector-strong
/.messages.o,D_FORTIFY_SOURCE=2
/.messages.o,O2
/.messages.o,fstack-protector-strong
/.mev_imc.o,PIE
/.mev_ts_imc.o,PIE
/.microcom.o,D_FORTIFY_SOURCE=2
/.microcom.o,O2
/.microcom.o,fstack-protector-strong
/.misc.o,PIE
/.missing_syscalls.o,D_FORTIFY_SOURCE=2
