compilation_file,flag
/.device-remove.o,fstack-protector-strong
/.device.o,PIE
/.device.o,fstack-protector-strong
/.device_open.o,D_FORTIFY_SOURCE=2
/.device_open.o,O2
/.device_open.o,fstack-protector-strong
/.devmem.o,D_FORTIFY_SOURCE=2
/.devmem.o,O2
/.devmem.o,fstack-protector-strong
/.df.o,D_FORTIFY_SOURCE=2
/.df.o,O2
/.df.o,fstack-protector-strong
/.dhcpc.o,D_FORTIFY_SOURCE=2
/.dhcpc.o,O2
/.dhcpc.o,fstack-protector-strong
/.dhcpd.o,D_FORTIFY_SOURCE=2
/.dhcpd.o,O2
/.dhcpd.o,fstack-protector-strong
/.diff.o,D_FORTIFY_SOURCE=2
/.diff.o,O2
/.diff.o,fstack-protector-strong
/.dirname.o,D_FORTIFY_SOURCE=2
/.dirname.o,O2
/.dirname.o,fstack-protector-strong
/.display_options.o,PIE
/.display_options.o,fstack-protector-strong
/.div64.o,PIE
/.div64.o,fstack-protector-strong
/.dlmalloc.o,PIE
/.dlmalloc.o,fstack-protector-strong
/.dm.o,PIE
/.dm.o,fstack-protector-strong
/.dmesg.o,D_FORTIFY_SOURCE=2
/.dmesg.o,O2
/.dmesg.o,fstack-protector-strong
/.domain_codec.o,D_FORTIFY_SOURCE=2
/.domain_codec.o,O2
/.domain_codec.o,fstack-protector-strong
/.dtc-lexer.lex.o,O2
/.dtc-parser.tab.o,O2
/.dtc.o,O2
/.du.o,D_FORTIFY_SOURCE=2
/.du.o,O2
/.du.o,fstack-protector-strong
/.dump.o,D_FORTIFY_SOURCE=2
/.dump.o,O2
/.dump.o,PIE
/.dump.o,fstack-protector-strong
/.dumpimage.o,O2
/.dumpkmap.o,D_FORTIFY_SOURCE=2
/.dumpkmap.o,O2
/.dumpkmap.o,fstack-protector-strong
/.dumpleases.o,D_FORTIFY_SOURCE=2
/.dumpleases.o,O2
/.dumpleases.o,fstack-protector-strong
/.duration.o,D_FORTIFY_SOURCE=2
/.duration.o,O2
/.duration.o,fstack-protector-strong
/.e1000.o,PIE
/.e1000_spi.o,PIE
/.e2fs_lib.o,D_FORTIFY_SOURCE=2
/.e2fs_lib.o,O2
/.e2fs_lib.o,fstack-protector-strong
/.ecdsa-libcrypto.o,O2
/.echo.o,D_FORTIFY_SOURCE=2
/.echo.o,O2
/.echo.o,PIE
/.echo.o,fstack-protector-strong
/.efi_block_device.o,PIE
/.efi_bootmgr.o,PIE
/.efi_boottime.o,PIE
/.efi_console.o,PIE
/.efi_crt0.o,PIE
/.efi_device_path.o,PIE
/.efi_device_path_to_text.o,PIE
/.efi_device_path_utilities.o,PIE
/.efi_disk.o,PIE
/.efi_file.o,PIE
/.efi_image_loader.o,PIE
/.efi_memory.o,PIE
/.efi_net.o,PIE
/.efi_reloc.o,PIE
/.efi_root_node.o,PIE
/.efi_runtime.o,PIE
/.efi_smbios.o,PIE
/.efi_uclass.o,PIE
/.efi_unicode_collation.o,PIE
/.efi_variable.o,PIE
/.efi_watchdog.o,PIE
/.elf.o,PIE
/.elf.o,fstack-protector-strong
/.embedded.o,O2
/.endofname.o,D_FORTIFY_SOURCE=2
/.endofname.o,O2
/.endofname.o,fstack-protector-strong
/.env.o,D_FORTIFY_SOURCE=2
/.env.o,O2
/.env.o,PIE
/.env.o,fstack-protector-strong
/.envcrc.o,O2
/.envcrc.o,O2
/.errno.o,PIE
/.errno.o,fstack-protector-strong
/.eth-uclass.o,PIE
/.eth_common.o,PIE
/.eth_common.o,fstack-protector-strong
/.eth_legacy.o,PIE
/.eth_legacy.o,fstack-protector-strong
/.exception_level.o,PIE
/.exception_level.o,fstack-protector-strong
/.exceptions.o,PIE
/.executable.o,D_FORTIFY_SOURCE=2
/.executable.o,O2
/.executable.o,fstack-protector-strong
/.exit.o,PIE
/.exit.o,fstack-protector-strong
/.exports.o,PIE
/.exports.o,fstack-protector-strong
/.expr.o,D_FORTIFY_SOURCE=2
/.expr.o,O2
/.expr.o,fstack-protector-strong
/.ext.o,D_FORTIFY_SOURCE=2
/.ext.o,O2
/.ext.o,fstack-protector-strong
/.ext2.o,PIE
/.ext2.o,fstack-protector-strong
/.ext4.o,PIE
/.ext4.o,fstack-protector-strong
/.ext4_common.o,PIE
/.ext4_common.o,fstack-protector-strong
/.ext4_journal.o,PIE
/.ext4_write.o,PIE
/.ext4fs.o,PIE
/.ext4fs.o,fstack-protector-strong
/.f2fs.o,D_FORTIFY_SOURCE=2
/.f2fs.o,O2
/.f2fs.o,fstack-protector-strong
/.false.o,D_FORTIFY_SOURCE=2
/.false.o,O2
/.false.o,fstack-protector-strong
/.fat.o,D_FORTIFY_SOURCE=2
/.fat.o,O2
/.fat.o,fstack-protector-strong
/.fbset.o,D_FORTIFY_SOURCE=2
/.fbset.o,O2
/.fbset.o,fstack-protector-strong
/.fclose_nonstdin.o,D_FORTIFY_SOURCE=2
/.fclose_nonstdin.o,O2
/.fclose_nonstdin.o,fstack-protector-strong
/.fdisk.o,D_FORTIFY_SOURCE=2
/.fdisk.o,O2
/.fdisk.o,fstack-protector-strong
/.fdt-libcrypto.o,O2
/.fdt.o,O2
/.fdt.o,PIE
/.fdt.o,fstack-protector-strong
/.fdt_addresses.o,O2
/.fdt_addresses.o,PIE
/.fdt_addresses.o,fstack-protector-strong
/.fdt_empty_tree.o,O2
/.fdt_empty_tree.o,PIE
/.fdt_empty_tree.o,fstack-protector-strong
/.fdt_overlay.o,O2
/.fdt_region.o,O2
/.fdt_region.o,PIE
/.fdt_ro.o,O2
/.fdt_ro.o,PIE
/.fdt_ro.o,fstack-protector-strong
/.fdt_rw.o,O2
/.fdt_rw.o,PIE
/.fdt_rw.o,fstack-protector-strong
/.fdt_strerror.o,O2
/.fdt_strerror.o,PIE
/.fdt_strerror.o,fstack-protector-strong
/.fdt_support.o,PIE
/.fdt_support.o,fstack-protector-strong
/.fdt_sw.o,O2
/.fdt_sw.o,PIE
/.fdt_sw.o,fstack-protector-strong
/.fdt_wip.o,O2
/.fdt_wip.o,PIE
/.fdt_wip.o,fstack-protector-strong
/.fdtaddr.o,PIE
/.fdtaddr.o,fstack-protector-strong
/.fdtdec.o,O2
/.fdtdec.o,PIE
/.fdtdec.o,fstack-protector-strong
/.fdtdec_common.o,O2
/.fdtdec_common.o,PIE
/.fdtdec_common.o,fstack-protector-strong
/.fdtgrep.o,O2
/.fflush_stdout_and_exit.o,D_FORTIFY_SOURCE=2
/.fflush_stdout_and_exit.o,O2
/.fflush_stdout_and_exit.o,fstack-protector-strong
/.fgets_str.o,D_FORTIFY_SOURCE=2
/.fgets_str.o,O2
/.fgets_str.o,fstack-protector-strong
/.filter_accept_all.o,D_FORTIFY_SOURCE=2
/.filter_accept_all.o,O2
/.filter_accept_all.o,fstack-protector-strong
/.filter_accept_list.o,D_FORTIFY_SOURCE=2
/.filter_accept_list.o,O2
/.filter_accept_list.o,fstack-protector-strong
/.filter_accept_reject_list.o,D_FORTIFY_SOURCE=2
/.filter_accept_reject_list.o,O2
/.filter_accept_reject_list.o,fstack-protector-strong
/.find.o,D_FORTIFY_SOURCE=2
/.find.o,O2
/.find.o,fstack-protector-strong
/.find_list_entry.o,D_FORTIFY_SOURCE=2
/.find_list_entry.o,O2
/.find_list_entry.o,fstack-protector-strong
/.find_mount_point.o,D_FORTIFY_SOURCE=2
/.find_mount_point.o,O2
/.find_mount_point.o,fstack-protector-strong
/.find_pid_by_name.o,D_FORTIFY_SOURCE=2
/.find_pid_by_name.o,O2
/.find_pid_by_name.o,fstack-protector-strong
/.find_root_device.o,D_FORTIFY_SOURCE=2
/.find_root_device.o,O2
/.find_root_device.o,fstack-protector-strong
/.firmware-uclass.o,PIE
/.firmware-uclass.o,fstack-protector-strong
/.fit_check_sign.o,O2
/.fit_common.o,O2
/.fit_image.o,O2
/.fit_info.o,O2
/.flags.o,PIE
/.flags.o,fstack-protector-strong
/.flash.o,PIE
/.flash.o,fPIC
/.flash.o,fstack-protector-strong
/.flattree.o,O2
/.flock.o,D_FORTIFY_SOURCE=2
/.flock.o,O2
/.flock.o,fstack-protector-strong
/.free.o,D_FORTIFY_SOURCE=2
/.free.o,O2
/.free.o,fstack-protector-strong
/.fs.o,PIE
/.fs.o,fstack-protector-strong
/.fs_internal.o,PIE
/.fs_internal.o,fstack-protector-strong
/.fsck.o,D_FORTIFY_SOURCE=2
/.fsck.o,O2
/.fsck.o,fstack-protector-strong
/.fstree.o,O2
/.fstrim.o,D_FORTIFY_SOURCE=2
/.fstrim.o,O2
/.fstrim.o,fstack-protector-strong
/.full_write.o,D_FORTIFY_SOURCE=2
/.full_write.o,O2
/.full_write.o,fstack-protector-strong
/.fuser.o,D_FORTIFY_SOURCE=2
/.fuser.o,O2
/.fuser.o,fstack-protector-strong
/.fwcall.o,PIE
/.fwcall.o,fstack-protector-strong
/.gen_ethaddr_crc.o,O2
/.generic_timer.o,PIE
/.generic_timer.o,fstack-protector-strong
/.get_console.o,D_FORTIFY_SOURCE=2
/.get_console.o,O2
/.get_console.o,fstack-protector-strong
/.get_devname.o,D_FORTIFY_SOURCE=2
/.get_devname.o,O2
/.get_devname.o,fstack-protector-strong
/.get_header_cpio.o,D_FORTIFY_SOURCE=2
/.get_header_cpio.o,O2
/.get_header_cpio.o,fstack-protector-strong
/.get_header_tar.o,D_FORTIFY_SOURCE=2
/.get_header_tar.o,O2
/.get_header_tar.o,fstack-protector-strong
/.get_last_path_component.o,D_FORTIFY_SOURCE=2
/.get_last_path_component.o,O2
/.get_last_path_component.o,fstack-protector-strong
/.get_line_from_file.o,D_FORTIFY_SOURCE=2
/.get_line_from_file.o,O2
/.get_line_from_file.o,fstack-protector-strong
/.get_shell_name.o,D_FORTIFY_SOURCE=2
/.get_shell_name.o,O2
/.get_shell_name.o,fstack-protector-strong
/.get_volsize.o,D_FORTIFY_SOURCE=2
/.get_volsize.o,O2
/.get_volsize.o,fstack-protector-strong
/.getopt.o,D_FORTIFY_SOURCE=2
/.getopt.o,O2
/.getopt.o,fstack-protector-strong
/.getopt32.o,D_FORTIFY_SOURCE=2
/.getopt32.o,O2
/.getopt32.o,fstack-protector-strong
/.getopt_allopts.o,D_FORTIFY_SOURCE=2
/.getopt_allopts.o,O2
/.getopt_allopts.o,fstack-protector-strong
/.getopt_mk_fifo_nod.o,D_FORTIFY_SOURCE=2
/.getopt_mk_fifo_nod.o,O2
/.getopt_mk_fifo_nod.o,fstack-protector-strong
/.getpty.o,D_FORTIFY_SOURCE=2
/.getpty.o,O2
/.getpty.o,fstack-protector-strong
/.getty.o,D_FORTIFY_SOURCE=2
/.getty.o,O2
/.getty.o,fstack-protector-strong
/.gpimage-common.o,O2
/.gpimage.o,O2
/.gpt.o,PIE
/.gpt.o,fstack-protector-strong
/.grep.o,D_FORTIFY_SOURCE=2
/.grep.o,O2
/.grep.o,fstack-protector-strong
/.gunzip.o,PIE
/.gunzip.o,fstack-protector-strong
/.gzip.o,D_FORTIFY_SOURCE=2
/.gzip.o,O2
/.gzip.o,fstack-protector-strong
/.halt.o,D_FORTIFY_SOURCE=2
/.halt.o,O2
/.halt.o,fstack-protector-strong
/.hang.o,PIE
/.hang.o,fstack-protector-strong
/.hash-checksum.o,O2
/.hash-checksum.o,PIE
/.hash-checksum.o,fstack-protector-strong
/.hash.o,O2
/.hash.o,PIE
/.hash.o,fstack-protector-strong
/.hash_md5_sha.o,D_FORTIFY_SOURCE=2
/.hash_md5_sha.o,O2
/.hash_md5_sha.o,fstack-protector-strong
/.hashtable.o,PIE
/.hashtable.o,fstack-protector-strong
/.head.o,D_FORTIFY_SOURCE=2
/.head.o,O2
/.head.o,fstack-protector-strong
/.header_list.o,D_FORTIFY_SOURCE=2
/.header_list.o,O2
/.header_list.o,fstack-protector-strong
/.header_skip.o,D_FORTIFY_SOURCE=2
/.header_skip.o,O2
/.header_skip.o,fstack-protector-strong
/.header_verbose_list.o,D_FORTIFY_SOURCE=2
/.header_verbose_list.o,O2
/.header_verbose_list.o,fstack-protector-strong
/.hello_world.o,PIE
/.helloworld.o,PIE
/.help.o,PIE
/.help.o,fstack-protector-strong
/.herror_msg.o,D_FORTIFY_SOURCE=2
/.herror_msg.o,O2
/.herror_msg.o,fstack-protector-strong
/.hexdump.o,D_FORTIFY_SOURCE=2
/.hexdump.o,O2
/.hexdump.o,PIE
/.hexdump.o,fstack-protector-strong
/.hostname.o,D_FORTIFY_SOURCE=2
/.hostname.o,O2
/.hostname.o,fstack-protector-strong
/.human_readable.o,D_FORTIFY_SOURCE=2
/.human_readable.o,O2
/.human_readable.o,fstack-protector-strong
/.hwclock.o,D_FORTIFY_SOURCE=2
/.hwclock.o,O2
/.hwclock.o,fstack-protector-strong
/.id.o,D_FORTIFY_SOURCE=2
/.id.o,O2
/.id.o,fstack-protector-strong
/.ifconfig.o,D_FORTIFY_SOURCE=2
/.ifconfig.o,O2
/.ifconfig.o,fstack-protector-strong
/.ifupdown.o,D_FORTIFY_SOURCE=2
/.ifupdown.o,O2
/.ifupdown.o,fstack-protector-strong
/.image-board.o,PIE
/.image-board.o,fstack-protector-strong
/.image-cipher.o,O2
/.image-fdt.o,PIE
/.image-fdt.o,fstack-protector-strong
/.image-fit-sig.o,O2
/.image-fit.o,O2
/.image-fit.o,PIE
/.image-fit.o,fstack-protector-strong
/.image-host.o,O2
/.image-sig-host.o,O2
/.image.o,O2
/.image.o,PIE
/.image.o,fstack-protector-strong
/.imagetool.o,O2
/.imx8image.o,O2
/.imx8mimage.o,O2
/.imximage.o,O2
/.in_ether.o,D_FORTIFY_SOURCE=2
/.in_ether.o,O2
/.in_ether.o,fstack-protector-strong
/.inet_cksum.o,D_FORTIFY_SOURCE=2
/.inet_cksum.o,O2
/.inet_cksum.o,fstack-protector-strong
/.inet_common.o,D_FORTIFY_SOURCE=2
/.inet_common.o,O2
/.inet_common.o,fstack-protector-strong
/.init.o,D_FORTIFY_SOURCE=2
/.init.o,O2
/.init.o,fstack-protector-strong
/.init_handle.o,D_FORTIFY_SOURCE=2
/.init_handle.o,O2
/.init_handle.o,fstack-protector-strong
/.initcall.o,PIE
/.inode_hash.o,D_FORTIFY_SOURCE=2
/.inode_hash.o,O2
/.inode_hash.o,fstack-protector-strong
/.input.o,PIE
/.insmod.o,D_FORTIFY_SOURCE=2
/.insmod.o,O2
/.insmod.o,fstack-protector-strong
/.interface.o,D_FORTIFY_SOURCE=2
/.interface.o,O2
/.interface.o,fstack-protector-strong
/.interrupts_64.o,PIE
/.interrupts_64.o,fstack-protector-strong
/.ip.o,D_FORTIFY_SOURCE=2
/.ip.o,O2
/.ip.o,fstack-protector-strong
/.ip_parse_common_args.o,D_FORTIFY_SOURCE=2
/.ip_parse_common_args.o,O2
/.ip_parse_common_args.o,fstack-protector-strong
/.ipaddress.o,D_FORTIFY_SOURCE=2
/.ipaddress.o,O2
/.ipaddress.o,fstack-protector-strong
/.iplink.o,D_FORTIFY_SOURCE=2
/.iplink.o,O2
/.iplink.o,fstack-protector-strong
/.ipneigh.o,D_FORTIFY_SOURCE=2
/.ipneigh.o,O2
/.ipneigh.o,fstack-protector-strong
/.iproute.o,D_FORTIFY_SOURCE=2
/.iproute.o,O2
/.iproute.o,fstack-protector-strong
/.iptunnel.o,D_FORTIFY_SOURCE=2
/.iptunnel.o,O2
/.iptunnel.o,fstack-protector-strong
/.isdirectory.o,D_FORTIFY_SOURCE=2
/.isdirectory.o,O2
/.isdirectory.o,fstack-protector-strong
/.isqrt.o,D_FORTIFY_SOURCE=2
/.isqrt.o,O2
/.isqrt.o,fstack-protector-strong
/.itest.o,PIE
/.itest.o,fstack-protector-strong
/.kernel_version.o,D_FORTIFY_SOURCE=2
/.kernel_version.o,O2
/.kernel_version.o,fstack-protector-strong
/.key_matrix.o,PIE
/.key_matrix.o,fstack-protector-strong
/.kill.o,D_FORTIFY_SOURCE=2
/.kill.o,O2
/.kill.o,fstack-protector-strong
/.klogd.o,D_FORTIFY_SOURCE=2
/.klogd.o,O2
/.klogd.o,fstack-protector-strong
/.kwbimage.o,O2
/.last_char_is.o,D_FORTIFY_SOURCE=2
/.last_char_is.o,O2
/.last_char_is.o,fstack-protector-strong
/.ldiv.o,PIE
/.ldiv.o,fstack-protector-strong
/.legacy-mtd-utils.o,PIE
/.legacy-mtd-utils.o,fstack-protector-strong
/.less.o,D_FORTIFY_SOURCE=2
/.less.o,O2
/.less.o,fstack-protector-strong
/.libnetlink.o,D_FORTIFY_SOURCE=2
/.libnetlink.o,O2
/.libnetlink.o,fstack-protector-strong
/.lineedit.o,D_FORTIFY_SOURCE=2
/.lineedit.o,O2
